Timestamp,Bit Error Rate,Pulse Duration,Rise Time,Fall Time,Jitter,Amplitude,Frequency,Signal Strength,Phase,Polarization,SNR,C/N,Anomaly,anomaly_pred
0,7.175489127614145e-06,48.09819606060653,8.895086765846935,10.676262326931564,0.13004212070987198,0.8359809865815941,60867989.81639371,-68.16658174800826,0.2966101066731617,0,43.62797519944375,8.566231778591128,0,0
1,1.662679561100697e-05,44.246063496947826,11.43675438307309,9.901077708856066,-0.0558049690242771,0.9145144766034922,92908541.02699134,-55.6709779091332,2.970359686470891,0,17.369540159476703,31.179959174435993,0,0
2,1.1532988100447425e-05,60.05305136217036,9.945029791572129,10.872467031892757,-0.037471871863938355,1.2987574533915864,36398359.41928351,-54.565435656846496,-2.890893354859701,1,16.86415045194943,21.441626856254775,0,1
3,2.214292314933103e-06,46.86998835563121,9.150954697010235,10.0555561222866,0.008731950154651,0.8946555790071765,119014173.32481465,-51.87333038261427,-2.6220580490287952,1,16.313179006328298,33.795552691196974,0,0
4,7.247165049281451e-06,51.49758278679379,8.661345715984163,12.2129298233076,-0.13739121842691468,0.8596551904690543,87262525.51560272,-39.30660367649628,1.3222057567105452,1,15.175006027089955,30.028722048552208,0,0
5,9.82152258659906e-06,51.344983891023084,9.913625088702823,7.531352402433178,-0.07828777133022652,1.3318537640312682,102034446.30705877,-55.20401099876515,1.8501312117850244,0,25.563563081005803,29.810679709873,0,0
6,4.273054482012981e-06,50.87931215094762,11.178329516662206,10.639467715730524,0.15174764566547047,0.8583358045022573,75046377.5051958,-38.166304528093676,-1.3553515992660574,1,23.83435479952689,30.819946233506755,0,0
7,2.7037764712067177e-06,47.15738368365111,9.837230780056313,11.133293052175889,0.13260373968648373,1.1432802369445583,70315396.20491578,-46.96502961175445,-2.0732561921181807,0,15.463523966379643,16.593922389547796,0,0
8,7.352719276907183e-06,47.004437452664,8.275313608737946,10.581955599607333,0.0645595980007138,0.7723040590581027,98258011.24857424,-37.62839114921446,0.3099803051717025,1,29.39427815474821,25.075214766473618,0,0
9,3.2978690058045516e-06,50.044473904293945,8.25409402701879,8.654712197939208,-0.09261746257307506,0.773510500003785,93980906.79842506,-59.53971335310278,2.7995072073615983,0,30.821318088143734,41.929695839182195,0,0
