Timestamp,Bit Error Rate,Pulse Duration,Rise Time,Fall Time,Jitter,Amplitude,Signal Strength,Phase,Polarization,SNR,C/N,Anomaly
1,8.984105013614206e-06,50.44147176446207,10.63858159024074,10.781048643449576,0.07747360858522066,0.8701030246581596,-57.03626654304723,-1.4244918862418554,1,19.579942574690033,22.311889552527784,0
2,4.881133352368396e-06,51.053762088241946,9.458514410139248,9.025592445245138,-0.07936254775052691,0.77014924717477,-53.78815208085058,0.5133522890572757,0,28.179363065488737,13.222613968036347,0
3,7.830676561646065e-06,50.66039309280018,9.89731036875697,9.80467055454663,-0.0019207640061556929,1.017017658735422,-61.85104477690101,-2.8584572767215355,0,12.387187993891844,37.79636628564105,0
4,4.806454963796606e-06,40.0348874688113,10.974469783642887,9.42280400642537,-0.11549316299759843,1.2862630199853706,-43.209888687369215,-3.098696829362092,1,20.284899281502685,51.03776703109877,0
5,1.230431199492787e-05,52.319407415211444,8.954466996716636,8.344863852719444,-0.07939006666708176,1.173773664732836,-62.39003448378561,-2.131586688587104,1,44.52957302677509,9.603973250371173,0
6,8.61933216530643e-06,45.619284744017165,9.06302262495245,10.717976999333727,-0.013996391256213284,0.8568213163987901,-50.09235609333739,-1.9259867833308766,0,21.00123754497789,14.738254406523,0
7,1.8804372567961954e-06,52.99914972846714,10.543457866312687,9.599720543718652,-0.0623182517915201,0.98213314266817,-41.54233005242174,-1.2270097287764008,0,16.739820199074558,19.436667341209642,0
8,9.509967226238967e-06,42.58402906108201,8.407824099869025,10.969194073709714,0.11503485454505154,0.6751210049359533,-35.30802175293112,0.44854983292905315,0,22.115331588428624,15.541417546993785,0
9,2.9330917081138153e-06,51.514041294389315,9.178789196658759,9.296185497471349,0.07123590882077896,0.839433492773511,-64.7418354712839,0.6144439575691694,0,6.2792358494660165,47.20753408521121,0
10,6.352480939091792e-06,55.188852348740355,8.835365603757623,9.938232147030181,-0.03539232976895572,1.0891059367015405,-51.86685483009984,-3.043255684183398,1,16.322606893006476,11.733717403353225,0
11,3.5156257894811784e-06,48.569021929759735,9.72078390018785,11.136487351223934,-0.015883314971371056,1.2948062268886498,-56.03243743740987,1.9502224562751582,0,34.31801842218128,16.340054469467223,0
12,2.813899579727188e-06,51.613456088504755,9.978042332257186,10.931596819046106,0.0036609807607531197,0.8123369974955386,-33.480888571579854,-2.565582513979438,1,21.41067295114312,14.400096451902405,0
13,8.609229702450979e-06,55.738868153818906,9.330224244758291,9.10935495051792,-0.017514033697229186,0.6317798546493507,-68.24813165861181,-2.449160616776491,0,14.820531460935502,9.90985983393017,0
14,6.379922351625752e-06,56.31018110410083,9.778487969443866,10.122698139551519,-0.012446584767457861,1.2535677916467194,-59.64396381514205,1.0377352495393453,1,40.939083062842926,14.3784656086331,0
15,4.540151317411296e-06,56.68130017703518,9.796609784465149,10.015274443680381,-0.04184056507952302,0.5578141963651422,-64.70004803382749,0.710004837503682,1,20.840793560541673,16.76446730903952,0
16,9.066821089627268e-06,45.71852497978678,10.412648213179784,10.344033371568552,0.0833083250948774,0.6790818464575041,-36.044248144782145,1.4716366761145503,0,27.881963855380842,23.419224173018332,0
17,1.774328866224609e-05,52.176452524388985,10.828462201047456,8.941769750769579,-0.11974654923575452,0.7960424048488502,-65.65513193915662,-1.084753293107815,1,26.75221872542299,8.101464032022701,0
18,3.6582230394878078e-06,43.44818163512797,10.760532823284489,7.555605434724068,-0.08262666033867419,1.1071502421493697,-75.93623193087517,1.315021257114389,1,8.05234145160666,15.462617423493157,0
19,2.6236915801144065e-06,52.56036525397529,9.957302460952647,8.697934839315419,-0.03588888308625684,1.1844780742838121,-44.5665099233708,0.29255545502881564,0,17.134562936950136,23.480283471783633,0
20,5.730411941052453e-06,53.46648058542831,10.490928466305972,10.319102041504104,0.01500396661893177,0.9599840983246175,-50.52175123280676,-2.152489147950267,1,10.099011655525297,22.915042404025616,0
21,5.756557357454116e-06,45.57142619113313,8.627109652761593,12.153851908030262,-0.11131505976139744,0.8701814845562437,-49.42359606611364,-1.958902519963818,1,25.341542991567493,12.759380417898987,0
22,3.464445060264211e-06,50.008480259132924,8.812841228027974,8.785730754533118,-0.045289182912031586,1.0083441486680236,-34.40844862215808,-0.07500666643281928,0,10.949999400085872,17.505068065567936,0
23,2.3327040118864958e-06,56.37944339608297,10.95669799288637,9.71552108742588,0.1919473093514262,0.6546142198781213,-41.4541663113709,2.2581479915438836,1,28.189568145035416,14.233395933207456,0
